# k[1/Mpc], P(xi+0.03)/P_LCDM, P(xi-0.03)/P_LCDM
8.309757777103796705e-01,9.581460298040482826e-01,1.041458457661281534e+00
8.549869810900601053e-01,9.580013928775734655e-01,1.041609668702963232e+00
8.796919927650054261e-01,9.578603631689340814e-01,1.041758446384696946e+00
9.051108604580644368e-01,9.577224950172975593e-01,1.041905110432067794e+00
9.312642111748525853e-01,9.575873382406764334e-01,1.042049720748370101e+00
9.581732679422455545e-01,9.574544429362586984e-01,1.042192329120384509e+00
9.858598670305188660e-01,9.573233594687347026e-01,1.042332987375443443e+00
1.014346475673141512e+00,9.571936384607480086e-01,1.042471747380460334e+00
1.043656210298568476e+00,9.570648313937559770e-01,1.042608661157931493e+00
1.073812855288862611e+00,9.569366702454871199e-01,1.042743815404401309e+00
1.104840882280332393e+00,9.568093179558812000e-01,1.042877333223501291e+00
1.136765470021883440e+00,9.566830003891173551e-01,1.043009213508130140e+00
1.169612524807162268e+00,9.565579432928383863e-01,1.043139430300857207e+00
1.203408701497109545e+00,9.564343723008609244e-01,1.043267957639484544e+00
1.238181425149945003e+00,9.563125129364151711e-01,1.043394769557450363e+00
1.273958913276175275e+00,9.561925906159238764e-01,1.043519840084255579e+00
1.310770198736641579e+00,9.560748136460976987e-01,1.043643149676519943e+00
1.348645153302235444e+00,9.559591687421987727e-01,1.043764759093834149e+00
1.387614511894352365e+00,9.558454875660470362e-01,1.043884743561134254e+00
1.427709897525802019e+00,9.557335986807194983e-01,1.044003149044544942e+00
1.468963846962366038e+00,9.556233307400006094e-01,1.044120020933902548e+00
1.511409837125875955e+00,9.555145124853245964e-01,1.044235404646495669e+00
1.555082312260196442e+00,9.554069727430372083e-01,1.044349345626415237e+00
1.600016711882174203e+00,9.553005404557188829e-01,1.044461889379517006e+00
1.646249499540252570e+00,9.551950943784965897e-01,1.044573133585432023e+00
1.693818192404045631e+00,9.550906627030196772e-01,1.044683247196830145e+00
1.742761391708937069e+00,9.549873015427094991e-01,1.044792223977974110e+00
1.793118814080352230e+00,9.548850669900320609e-01,1.044900028021979566e+00
1.844931323763180364e+00,9.547840151171416156e-01,1.045006623411171010e+00
1.898240965782443501e+00,9.546842019765567899e-01,1.045111974217472373e+00
1.953091000062177951e+00,9.545856836018775660e-01,1.045216044502839337e+00
2.009525936530156986e+00,9.544885129189788486e-01,1.045318801188702462e+00
2.067591571237003212e+00,9.543926876341377596e-01,1.045420259660899687e+00
2.127335023518936996e+00,9.542981578506040119e-01,1.045520452125541233e+00
2.188804774234382577e+00,9.542048721359853714e-01,1.045619396735766093e+00
2.252050705105393735e+00,9.541127790828531907e-01,1.045717111479669059e+00
2.317124139195893662e+00,9.540218273080872669e-01,1.045813614356585042e+00
2.384077882559504591e+00,9.539319654522558922e-01,1.045908923376875688e+00
2.452966267090835206e+00,9.538431421790414255e-01,1.046003056561889411e+00
2.523845194614928733e+00,9.537553138263586971e-01,1.046096067266739205e+00
2.596772182250721706e+00,9.536684658335334852e-01,1.046188069032801371e+00
2.671806409085246692e+00,9.535825905563595217e-01,1.046279060091200419e+00
2.749008764196539722e+00,9.534976803562844605e-01,1.046369021811633049e+00
2.828441896064133321e+00,9.534137276003310513e-01,1.046457935560483721e+00
2.910170263407320768e+00,9.533307246610108754e-01,1.046545782701000959e+00
2.994260187492356007e+00,9.532486639162682796e-01,1.046632544593496972e+00
3.080779905951125386e+00,9.531675377855455267e-01,1.046718203807023961e+00
3.169799628154875037e+00,9.530873396206543946e-01,1.046802773592095948e+00
3.261391592188017885e+00,9.530080637616671346e-01,1.046886297236304664e+00
3.355630123468164250e+00,9.529297046005895666e-01,1.046968818280946456e+00
3.452591695060036159e+00,9.528522565338496397e-01,1.047050380276782322e+00
3.552354989732113388e+00,9.527757139622554661e-01,1.047131026790930397e+00
3.655000963806473102e+00,9.527000712909184932e-01,1.047210801406471603e+00
3.760612912853523948e+00,9.526253229292351854e-01,1.047289747722098374e+00
3.869276539285062988e+00,9.525514603578794093e-01,1.047367927913583463e+00
3.981080021900385457e+00,9.524784609170672267e-01,1.047445421322144909e+00
4.096114087442003004e+00,9.524062976972010874e-01,1.047522212165465039e+00
4.214472084218919612e+00,9.523349437981823984e-01,1.047598273713539863e+00
4.336250057857323092e+00,9.522643723300214802e-01,1.047673579230137708e+00
4.461546829240047529e+00,9.521945564126219619e-01,1.047748101972983292e+00
4.590464074698179964e+00,9.521254691755588473e-01,1.047821815193960671e+00
4.723106408519740285e+00,9.520570840714143168e-01,1.047894692913358794e+00
4.859581467842546409e+00,9.519893868867217446e-01,1.047966736665766119e+00
5.000000000000000888e+00,9.519223795022807577e-01,1.048037970057245527e+00
