# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
9.384930864942725437e-02,1.115632353855516992e-07,3.660747030078942812e-09,3.660747030078942812e-09
9.493877179275829470e-02,1.115246129232350055e-07,3.703246420395766822e-09,3.703246420395766822e-09
9.604088212505379474e-02,1.114860038317621550e-07,3.746239315573011202e-09,3.746239315573011202e-09
9.715578646301857579e-02,1.114474081065041920e-07,3.789731451312379892e-09,3.789731451312379065e-09
9.828363332770025107e-02,1.114088257428338549e-07,3.833728630217176738e-09,3.833728630217176738e-09
9.942457296427417712e-02,1.113702567361254703e-07,3.878236722583844960e-09,3.878236722583844960e-09
1.005787573620583603e-01,1.113317010817548735e-07,3.923261667203397630e-09,3.923261667203396803e-09
1.017463402747606355e-01,1.112931587750996339e-07,3.968809472172884339e-09,3.968809472172884339e-09
1.029274772409608379e-01,1.112546298115388027e-07,4.014886215717041278e-09,4.014886215717041278e-09
1.041223256048305484e-01,1.112161141864531520e-07,4.061498047020276111e-09,4.061498047020276111e-09
1.053310445370937015e-01,1.111776118952249626e-07,4.108651187069157228e-09,4.108651187069157228e-09
1.065537950562305269e-01,1.111391229332381432e-07,4.156351929505566167e-09,4.156351929505566167e-09
1.077907400499273083e-01,1.111006472958781906e-07,4.204606641490666261e-09,4.204606641490665433e-09
1.090420442967752618e-01,1.110621849785322162e-07,4.253421764579855409e-09,4.253421764579855409e-09
1.103078744882215051e-01,1.110237359765889199e-07,4.302803815608905646e-09,4.302803815608905646e-09
1.115883992507748085e-01,1.109853002854385762e-07,4.352759387591435079e-09,4.352759387591435906e-09
1.128837891684688899e-01,1.109468779004730877e-07,4.403295150627896661e-09,4.403295150627896661e-09
1.141942168055865986e-01,1.109084688170859186e-07,4.454417852826279022e-09,4.454417852826279022e-09
1.155198567296479295e-01,1.108700730306722008e-07,4.506134321234711243e-09,4.506134321234711243e-09
1.168608855346650877e-01,1.108316905366285618e-07,4.558451462786167643e-09,4.558451462786167643e-09
1.182174818646671705e-01,1.107933213303532963e-07,4.611376265255450394e-09,4.611376265255450394e-09
1.195898264374979370e-01,1.107549654072462349e-07,4.664915798228673328e-09,4.664915798228672501e-09
1.209781020688901337e-01,1.107166227627088884e-07,4.719077214085467776e-09,4.719077214085467776e-09
1.223824936968192362e-01,1.106782933921442767e-07,4.773867748994111445e-09,4.773867748994111445e-09
1.238031884061397414e-01,1.106399772909569947e-07,4.829294723919790458e-09,4.829294723919790458e-09
1.252403754535073022e-01,1.106016744545533047e-07,4.885365545646237709e-09,4.885365545646237709e-09
1.266942462925906288e-01,1.105633848783410440e-07,4.942087707810993249e-09,4.942087707810992422e-09
1.281649945995758377e-01,1.105251085577295721e-07,4.999468791954499255e-09,4.999468791954500082e-09
1.296528162989668276e-01,1.104868454881299688e-07,5.057516468583294296e-09,5.057516468583294296e-09
1.311579095896850122e-01,1.104485956649547434e-07,5.116238498247538507e-09,5.116238498247538507e-09
1.326804749714724507e-01,1.104103590836180728e-07,5.175642732633174061e-09,5.175642732633174061e-09
1.342207152716012042e-01,1.103721357395358013e-07,5.235737115668940989e-09,5.235737115668940989e-09
1.357788356718928335e-01,1.103339256281251632e-07,5.296529684648552726e-09,5.296529684648551899e-09
1.373550437360513687e-01,1.102957287448051527e-07,5.358028571368294452e-09,5.358028571368294452e-09
1.389495494373137463e-01,1.102575450849963260e-07,5.420242003280363500e-09,5.420242003280363500e-09
1.405625651864214898e-01,1.102193746441207215e-07,5.483178304662237215e-09,5.483178304662237215e-09
1.421943058599166865e-01,1.101812174176020582e-07,5.546845897802370191e-09,5.546845897802370191e-09
1.438449888287662848e-01,1.101430734008656305e-07,5.611253304202537685e-09,5.611253304202537685e-09
1.455148339873193752e-01,1.101049425893382810e-07,5.676409145797194965e-09,5.676409145797194138e-09
1.472040637826001475e-01,1.100668249784484537e-07,5.742322146190138800e-09,5.742322146190138800e-09
1.489129032439409361e-01,1.100287205636262073e-07,5.809001131908852406e-09,5.809001131908851579e-09
1.506415800129592697e-01,1.099906293403030432e-07,5.876455033676874671e-09,5.876455033676875498e-09
1.523903243738828905e-01,1.099525513039122892e-07,5.944692887704590679e-09,5.944692887704590679e-09
1.541593692842271879e-01,1.099144864498886361e-07,6.013723836998814136e-09,6.013723836998814136e-09
1.559489504058282350e-01,1.098764347736684293e-07,6.083557132691550448e-09,6.083557132691550448e-09
1.577593061362361493e-01,1.098383962706896288e-07,6.154202135388353237e-09,6.154202135388353237e-09
1.595906776404731053e-01,1.098003709363917561e-07,6.225668316536715162e-09,6.225668316536714335e-09
1.614433088831601915e-01,1.097623587662158815e-07,6.297965259814919885e-09,6.297965259814919885e-09
1.633174466610167463e-01,1.097243597556046765e-07,6.371102662541794410e-09,6.371102662541794410e-09
1.652133406357370049e-01,1.096863739000023611e-07,6.445090337107828322e-09,6.445090337107828322e-09
1.671312433672487441e-01,1.096484011948547570e-07,6.519938212428181880e-09,6.519938212428181880e-09
1.690714103473580088e-01,1.096104416356093398e-07,6.595656335418043702e-09,6.595656335418043702e-09
1.710341000337840534e-01,1.095724952177150017e-07,6.672254872490857517e-09,6.672254872490857517e-09
1.730195738845894393e-01,1.095345619366222888e-07,6.749744111079965567e-09,6.749744111079965567e-09
1.750280963930101186e-01,1.094966417877833887e-07,6.828134461184225358e-09,6.828134461184225358e-09
1.770599351226898044e-01,1.094587347666519447e-07,6.907436456938176313e-09,6.907436456938176313e-09
1.791153607433231265e-01,1.094208408686832413e-07,6.987660758207318786e-09,6.987660758207318786e-09
1.811946470667123998e-01,1.093829600893341773e-07,7.068818152209152324e-09,7.068818152209152324e-09
1.832980710832435578e-01,1.093450924240631477e-07,7.150919555160615041e-09,7.150919555160615041e-09
1.854259129987852195e-01,1.093072378683300556e-07,7.233976013952569320e-09,7.233976013952568493e-09
1.875784562720160253e-01,1.092693964175965780e-07,7.317998707852015438e-09,7.317998707852014610e-09
1.897559876521850430e-01,1.092315680673258079e-07,7.402998950232746137e-09,7.402998950232746137e-09
1.919587972173111001e-01,1.091937528129824662e-07,7.488988190335208127e-09,7.488988190335208127e-09
1.941871784128254841e-01,1.091559506500328091e-07,7.575978015056307508e-09,7.575978015056307508e-09
1.964414280906627563e-01,1.091181615739447074e-07,7.663980150769945798e-09,7.663980150769945798e-09
1.987218465488055363e-01,1.090803855801874876e-07,7.753006465179124473e-09,7.753006465179124473e-09
2.010287375712885571e-01,1.090426226642322765e-07,7.843068969200490698e-09,7.843068969200490698e-09
